idUsuario;timestamp;br;km;tipoAlerta
714;1732327577;230;1068.6;A
4542;1709126830;122;1772.0;F
2688;1705206875;101;3884.2;E
414;1730865134;242;2066.3;E
150;1714990622;267;1235.4;D
2723;1713647744;222;1705.6;F
973;1715961709;285;36.4;F
3525;1715267892;156;432.5;B
2941;1731623421;120;338.6;D
3774;1716191757;122;1772.3;B
3741;1718971688;163;1630.1;E
1143;1717026130;283;160.3;D
3039;1713817728;122;1772.3;F
1783;1713978711;293;172.9;F
2162;1709584452;122;1772.3;A
1007;1734617359;267;233.9;B
2090;1718257669;235;1619.1;B
3732;1707278442;153;3036.1;C
4148;1706147420;146;148.0;E
2375;1721890156;146;119.4;B
3268;1725667338;163;1630.1;C
4770;1734489160;280;573.5;A
4316;1723294742;285;369.4;B
4079;1733279953;283;1740.8;A
2551;1730968404;272;88.2;A
2801;1710460877;174;1325.4;C
3838;1706956209;153;2183.8;D
4379;1729979518;163;1630.3;B
4683;1719883198;153;3036.1;F
3019;1714662885;110;543.9;D
3741;1713112695;293;431.5;B
242;1724492910;277;487.3;F
1494;1733061850;282;579.6;C
733;1716607259;101;3884.2;C
614;1708084346;163;651.4;E
892;1705307382;259;103.7;E
847;1735046191;287;260.7;E
3274;1724091357;265;770.1;F
2447;1732279099;285;411.8;E
2364;1724898233;154;466.6;A
3803;1714060478;272;776.4;F
318;1716950213;116;1350.2;C
3788;1733239408;156;432.8;E
4532;1704769295;285;369.0;D
489;1713525956;262;2020.4;E
1588;1726293810;235;1619.3;E
2940;1726915623;158;3376.4;F
2051;1715730801;293;404.8;D
2713;1719194846;287;352.3;C
3520;1715507246;154;237.9;B
4514;1732946433;155;143.2;C
4787;1725942160;262;313.7;B
3452;1713094247;265;425.3;E
3320;1708572069;283;2517.6;F
1295;1706075867;154;237.9;E
4974;1721756535;251;966.6;E
878;1711666480;154;23.1;B
758;1732428486;285;369.4;E
3150;1728941678;262;313.6;B
3647;1719290458;101;3884.4;C
