br;trecho;tipo;upvotes
230;1068.5;A;11
230;2108.5;D;6
230;2060.0;B;6
230;2610.0;B;8
230;2060.0;A;3
230;1584.0;C;4
230;2060.0;D;4
230;2352.5;E;3
230;1068.5;D;4
230;2610.0;C;10
230;3281.0;A;6
230;1682.5;B;4
230;2182.5;B;8
230;624.0;F;4
230;3743.0;B;5
230;785.0;B;5
230;1682.5;F;5
230;821.5;D;4
230;2183.0;C;4
230;4026.0;E;1
230;2013.0;D;3
230;3962.5;C;2
230;1584.5;E;7
230;3592.0;B;4
230;624.0;B;5
230;3281.0;F;5
230;2804.0;B;7
230;2108.5;A;6
230;2610.0;F;6
230;624.0;A;3
230;2728.0;E;5
230;2189.5;B;4
230;2804.0;F;3
230;354.0;E;6
230;2047.0;F;9
230;2328.0;C;2
230;354.0;B;5
230;2111.0;C;7
230;1951.5;F;5
230;2139.0;F;3
230;3103.0;F;5
230;2182.5;C;4
230;1585.5;B;4
230;3962.5;F;2
230;1553.5;E;5
230;3281.0;D;4
230;242.5;F;5
230;4165.5;E;3
230;2047.0;B;11
230;2610.0;A;6
230;2140.0;F;8
230;3103.0;B;6
230;2047.0;E;12
230;4185.0;A;4
230;3234.0;D;3
230;242.5;C;4
230;855.5;B;3
230;2013.0;F;4
230;2804.0;E;4
230;1610.5;B;7
230;3772.0;A;6
230;2141.0;E;5
230;3962.5;A;4
230;3017.5;E;7
230;2790.0;E;2
230;2875.0;C;4
230;152.5;D;5
230;1015.5;C;5
230;4148.0;D;4
230;3234.0;F;4
230;3234.0;C;5
230;105.5;F;4
230;4185.0;D;3
230;1691.5;D;3
230;261.5;B;3
230;524.0;E;1
230;1951.0;A;1
230;1553.5;C;6
230;152.5;A;4
230;2109.0;F;1
230;923.5;A;1
230;1412.0;E;1
230;2189.5;D;7
230;3926.5;F;1
230;2060.0;F;4
230;1269.5;C;1
230;3017.5;B;3
230;3933.5;A;1
230;223.5;E;1
230;4182.0;D;1
230;4098.5;A;1
230;59.5;D;1
230;1945.5;F;1
230;785.0;C;4
230;790.0;B;1
230;1224.5;A;1
230;1276.0;C;1
230;2328.0;B;7
230;1799.0;F;1
230;3772.0;D;6
230;3229.0;A;1
230;2667.0;A;1
230;3499.0;E;1
230;4213.5;F;1
230;3156.5;B;1
230;2728.0;D;2
230;20.5;E;1
230;4131.0;C;1
230;1882.0;B;1
230;377.5;A;1
230;2804.5;F;1
230;4018.0;A;1
230;837.5;A;1
230;4030.5;D;1
230;1676.5;F;1
230;1511.0;A;1
230;111.5;C;1
230;624.0;E;5
230;3761.5;B;1
230;2790.0;A;3
230;4171.5;F;1
230;3146.5;F;1
230;2933.0;F;1
230;2187.0;F;1
230;2726.5;E;1
230;384.0;A;1
230;3379.0;F;1
230;3898.5;F;1
230;2013.5;A;1
230;611.0;D;1
230;1637.5;E;1
230;886.5;A;1
230;1691.5;C;3
230;2413.5;E;1
230;2715.5;E;1
230;458.5;A;1
230;2539.5;E;1
230;1867.0;B;2
230;1270.5;E;1
230;1951.5;D;6
230;215.0;B;1
230;3765.0;A;1
230;688.0;E;1
230;2790.0;C;4
230;3205.5;E;1
230;262.0;B;1
230;1709.5;C;1
230;3044.0;C;1
230;2111.0;F;2
230;4228.0;B;1
230;106.0;A;1
230;2731.5;D;1
230;796.0;D;1
230;4148.0;A;4
230;2134.5;A;1
230;2270.0;A;1
230;2047.0;C;4
230;242.5;D;3
230;271.5;A;1
230;2352.5;C;5
230;1850.0;F;1
230;2888.5;E;1
230;3589.5;B;1
230;1105.5;F;1
230;2111.5;C;1
230;1611.5;C;1
230;1984.0;B;1
230;989.0;A;1
230;3512.5;B;1
230;765.0;D;1
230;624.0;C;7
230;939.0;B;1
230;1586.0;D;2
230;932.5;A;1
230;2427.0;C;1
230;2705.5;A;1
230;4088.5;E;1
230;261.5;A;3
230;3493.0;E;1
230;3149.5;D;1
230;954.5;E;1
230;1675.0;E;1
230;2508.5;E;1
230;4034.5;A;1
230;2328.0;F;4
230;2914.0;C;1
230;2111.0;D;6
230;1261.5;A;1
230;3123.5;A;1
230;3753.5;F;1
230;3962.5;B;3
230;1686.0;B;1
230;3273.0;A;1
230;526.5;C;1
230;3018.0;E;1
230;1788.5;C;1
230;2141.0;B;4
230;354.0;D;4
230;2361.0;C;1
230;2140.0;E;4
230;1518.0;B;2
230;801.5;B;1
230;1386.0;A;1
230;1584.0;A;5
230;2638.5;F;1
230;2804.0;A;5
230;2625.0;C;1
230;272.5;C;1
230;3507.5;D;1
230;2141.0;F;3
230;1691.5;A;4
230;2122.0;D;1
230;1683.0;B;1
230;352.0;C;1
230;3975.5;D;1
230;2065.0;F;1
230;4026.0;C;5
230;2013.0;B;10
230;1553.5;A;4
230;1433.0;F;1
230;1165.0;E;1
230;1668.0;F;1
230;3864.0;F;1
230;2239.0;F;1
230;2906.5;D;1
230;1005.5;D;1
230;1945.0;C;1
230;2473.0;D;1
230;3809.5;A;1
230;2108.5;B;5
230;924.5;F;1
230;1585.5;F;6
230;1883.5;F;1
230;2140.0;A;2
230;2899.5;F;1
230;3743.5;D;1
230;21.5;C;1
230;1025.5;B;1
230;2728.0;B;7
230;1951.5;A;7
230;2868.5;C;1
230;3717.5;D;1
230;534.0;D;1
230;1553.5;F;4
230;458.0;F;1
230;2139.0;A;3
230;2628.0;D;1
230;2328.0;A;5
230;3865.0;A;1
230;2875.0;E;4
230;509.0;D;1
230;253.5;C;2
230;2139.5;E;1
230;1912.5;D;1
230;1928.5;A;1
230;152.5;C;5
230;3695.5;D;1
230;219.5;E;1
230;261.5;C;8
230;3106.5;C;1
230;261.5;E;4
230;1584.0;D;3
230;2108.5;C;4
230;618.0;A;1
230;1698.5;A;1
230;2545.0;F;1
230;1160.0;B;1
230;3963.5;A;1
230;2084.5;E;1
230;2384.5;D;1
230;951.0;F;1
230;750.0;A;1
230;354.0;A;3
230;2926.0;C;1
230;3906.0;C;2
230;4172.0;D;1
230;2875.0;A;5
230;2352.5;F;3
230;4225.0;F;1
230;4111.0;F;1
230;4026.5;C;2
230;3234.0;B;4
230;2106.0;E;1
230;149.5;D;1
230;3471.0;B;1
230;1027.5;D;1
230;218.5;F;1
230;354.5;F;2
230;1340.0;F;1
230;3533.5;E;1
230;2139.0;E;3
230;3124.0;B;1
230;285.0;D;1
230;4008.5;B;1
230;2625.5;C;1
230;1553.5;B;6
230;1181.0;A;1
230;3797.5;F;1
230;4029.0;A;2
230;745.0;B;1
230;105.5;C;3
230;754.0;E;1
230;1068.5;E;4
230;785.0;F;4
230;3075.5;C;1
230;1112.5;B;3
230;1187.5;C;1
230;4026.0;F;4
230;794.0;B;1
230;3746.5;E;1
230;2504.0;B;1
230;3287.0;A;1
230;1918.5;F;1
230;2917.5;B;1
230;4166.0;D;2
230;2395.5;E;1
230;1068.5;F;7
230;3367.0;C;1
230;2728.0;C;5
230;1422.0;A;1
230;3234.0;E;4
230;3743.0;A;4
230;2669.0;E;1
230;532.5;C;1
230;2000.0;C;1
230;3348.0;F;1
230;2141.0;A;8
230;2728.0;A;3
230;855.5;F;4
230;879.5;F;1
230;1579.0;C;1
230;3304.5;F;1
230;1395.0;A;1
230;1908.5;A;1
230;3462.5;D;1
230;863.5;A;1
230;1190.5;E;1
230;2082.0;B;1
230;753.5;C;1
230;856.0;F;1
230;1169.5;C;1
230;1567.0;D;1
230;1015.5;D;4
230;1394.0;C;1
230;576.5;B;1
230;1159.0;E;1
230;3592.0;D;3
230;2066.5;D;1
230;1333.0;B;1
230;1760.5;C;1
230;4026.0;B;4
230;79.0;C;1
230;2013.0;E;2
230;2175.0;A;1
230;1565.5;F;1
230;1879.5;A;1
230;1147.0;E;1
230;1448.5;C;1
230;557.5;B;1
230;1341.5;E;1
230;4185.0;C;2
230;1197.0;E;1
230;821.5;B;6
230;555.5;B;2
230;3218.0;F;1
230;442.0;B;1
230;3755.0;F;1
230;828.5;C;2
230;207.5;B;1
230;1163.0;A;2
230;2552.5;A;1
230;1383.5;E;1
230;1041.5;C;1
230;3161.0;F;1
230;2208.5;B;1
230;2634.0;B;1
230;1970.5;E;1
230;1584.5;B;2
230;3316.5;D;1
230;4026.0;A;6
230;2182.5;D;3
230;2790.0;B;3
230;1691.5;E;2
230;3757.0;E;1
230;1967.0;A;1
230;1915.0;C;1
230;1889.0;D;1
230;2818.5;A;1
230;1269.5;A;1
230;1153.0;A;1
230;4165.5;F;3
230;1916.5;E;1
230;3153.5;C;1
230;2064.0;C;1
230;3786.0;F;1
230;4217.5;E;1
230;2140.0;B;4
230;821.5;C;4
230;261.5;F;1
230;3425.0;E;1
230;2520.0;B;1
230;2942.5;D;1
230;1389.5;F;1
230;323.0;E;1
230;1349.5;B;1
230;2480.5;B;1
230;2610.5;F;1
230;4142.5;B;1
230;1169.0;D;1
230;1622.0;D;1
230;1010.5;B;1
230;1898.5;C;1
230;445.5;D;1
230;2804.5;E;1
230;2183.5;D;1
230;4120.5;E;1
230;3103.0;D;4
230;826.0;B;1
230;4185.0;B;5
230;3250.5;A;1
230;960.5;E;1
230;3159.5;F;1
230;235.0;B;1
230;200.5;B;1
230;336.5;C;1
230;1384.5;B;1
230;3582.5;C;1
230;3800.5;E;1
230;1817.0;B;1
230;237.5;C;1
230;2336.5;C;1
230;2425.5;E;1
230;1471.0;D;1
230;3026.0;D;1
230;143.0;E;1
230;3018.0;D;1
230;2950.5;E;1
230;813.0;F;1
230;1926.5;E;2
230;820.0;F;1
230;4036.5;C;1
230;3906.0;B;1
230;845.0;F;1
230;152.5;B;3
230;2293.5;D;1
230;3553.5;D;1
230;855.5;C;3
230;4165.5;C;3
230;2804.0;C;4
230;3225.5;D;1
230;2047.5;F;3
230;2828.5;B;1
230;821.5;A;2
230;3671.0;E;1
230;3280.5;D;1
230;4126.0;F;1
230;2715.0;E;1
230;1749.0;A;1
230;1717.0;A;1
230;2160.0;E;1
230;1015.5;A;3
230;3220.0;F;1
230;2244.0;B;1
230;3171.0;E;1
230;4165.5;D;4
230;1158.5;F;1
230;2636.5;C;1
230;2139.0;C;4
230;2790.0;D;5
230;1901.0;F;1
230;1584.0;E;5
230;1907.0;D;1
230;1710.5;C;1
230;1520.0;C;1
230;4185.5;A;1
230;2586.0;B;1
230;3064.0;D;1
230;2765.0;B;1
230;2111.0;E;4
230;3059.0;E;1
230;3045.5;F;1
230;3680.0;B;1
230;2111.0;A;4
230;2875.0;B;2
230;3466.0;F;1
230;1085.5;A;1
230;2804.0;D;4
230;1744.0;B;1
230;2111.5;F;1
230;842.5;E;1
230;4185.0;F;2
230;3060.0;A;1
230;858.5;E;1
230;3281.0;B;3
230;2183.0;B;4
230;2119.5;E;1
230;2898.0;C;1
230;152.5;F;5
230;669.0;F;1
230;2007.5;E;1
230;2139.0;D;4
230;1725.0;B;1
